,Layer,U,V,Type,Shape,cells,cmssw_type,cmssw_shape,cmssw_cells,nHitsTotal,corrFactorTotal,nHistsToA,corrFactorToA,nHitsBXM1,corrFactorBXM1,EvSize
4101,40,15,1,8,f,272,2,F,272,3.2834,1.0,0.6616,1.0,0.0,0.0,19.041
4102,40,15,2,8,D,274,2,F,278,3.5774,1.0,0.6766,1.0,0.0,0.0,19.5966
4103,40,15,3,8,C,274,2,F,278,3.5996,1.0,0.6822,1.0,0.0,0.0,19.646
4104,40,15,4,8,f,272,2,F,272,3.287,1.0,0.6474,1.0,0.0,0.0,19.0496
4105,40,15,5,8,d,266,2,F,270,3.228,1.0,0.6408,1.0,0.0,0.0,18.9548
4106,40,15,6,8,c,266,2,F,270,3.2738,1.0,0.6656,1.0,0.0,0.0,19.0304
4107,40,15,7,8,f,272,2,F,272,3.3156,1.0,0.6572,1.0,0.0,0.0,19.108
4108,40,15,8,8,D,274,2,F,278,3.6256,1.0,0.6892,1.0,0.0,0.0,19.6876
4109,40,15,9,8,C,274,2,F,278,3.6166,1.0,0.695,1.0,0.0,0.0,19.6628
4110,40,15,10,8,f,272,2,F,272,3.3432,1.0,0.6898,1.0,0.0,0.0,19.1436
4111,40,15,11,8,d,266,2,F,270,3.2492,1.0,0.6656,1.0,0.0,0.0,18.9778
4112,41,0,3,1,F,192,1,F,192,4.5854,1.0,0.4666,1.0,0.9432,1.0,16.6578
4113,41,0,4,1,F,192,1,F,192,0.7456,1.0,0.1414,1.0,0.1378,1.0,10.3704
4114,41,0,5,1,F,192,1,F,192,0.3032,1.0,0.0728,1.0,0.0436,1.0,9.5686
4115,41,0,6,1,F,192,1,F,192,0.1406,1.0,0.0314,1.0,0.0148,1.0,9.2738
4116,41,1,3,1,b,164,1,b,170,6.2924,0.998284,0.5854,1.0,1.247,1.0,17.5042
4117,41,1,4,1,F,192,1,F,192,1.1846,1.0,0.2294,1.0,0.2632,1.0,11.123
4118,41,1,5,1,F,192,1,F,192,0.4062,1.0,0.0856,1.0,0.0636,1.0,9.7648
4119,41,1,6,1,F,192,1,F,192,0.1992,1.0,0.0448,1.0,0.0202,1.0,9.3802
4120,41,1,7,1,a,100,1,a,122,0.0592,0.976351,0.0136,1.0,0.0074,1.0,6.1124
4121,41,2,3,1,b,164,1,b,170,6.307,0.998446,0.5952,1.0,1.2436,0.999839,17.5284
4122,41,2,4,1,F,192,1,F,192,1.4304,1.0,0.2872,1.0,0.3192,1.0,11.5104
4123,41,2,5,1,F,192,1,F,192,0.4768,1.0,0.0946,1.0,0.0722,1.0,9.885
4124,41,2,6,1,F,192,1,F,192,0.216,1.0,0.0462,1.0,0.0284,1.0,9.4152
4125,41,2,7,1,b,164,1,b,181,0.0902,1.0,0.019,1.0,0.0122,1.0,8.1752
4126,41,3,0,1,a,100,1,a,139,4.2298,0.713651,0.3458,0.829381,0.686,0.772012,10.781
4127,41,3,2,1,a,100,1,a,137,4.1942,0.718802,0.3334,0.830234,0.6962,0.764436,10.7688
4128,41,3,3,1,F,192,1,F,192,4.5266,1.0,0.4644,1.0,0.941,1.0,16.56
4129,41,3,4,1,F,192,1,F,192,1.1636,1.0,0.2372,1.0,0.2452,1.0,11.071
4130,41,3,5,1,F,192,1,F,192,0.464,1.0,0.0994,1.0,0.0638,1.0,9.8732
4131,41,3,6,1,F,192,1,F,192,0.249,1.0,0.055,1.0,0.028,1.0,9.472
4132,41,3,7,1,b,164,1,b,192,0.1186,0.991568,0.0228,1.0,0.018,1.0,8.2294
4133,41,4,0,1,F,192,1,F,192,1.3876,1.0,0.2796,1.0,0.311,1.0,11.4564
4134,41,4,1,1,F,192,1,F,192,2.238,1.0,0.415,1.0,0.5252,1.0,12.8258
4135,41,4,2,1,F,192,1,F,192,2.1852,1.0,0.421,1.0,0.495,1.0,12.7422
4136,41,4,3,1,F,192,1,F,192,1.3518,1.0,0.2586,1.0,0.3068,1.0,11.4054
4137,41,4,4,1,F,192,1,F,192,0.7408,1.0,0.1634,1.0,0.1206,1.0,10.3642
4138,41,4,5,1,F,192,1,F,192,0.3948,1.0,0.0806,1.0,0.0604,1.0,9.7474
4139,41,4,6,1,F,192,1,F,192,0.204,1.0,0.0414,1.0,0.0276,1.0,9.3922
4140,41,4,7,1,b,164,1,b,192,0.1158,0.982729,0.026,0.976923,0.0146,1.0,8.2168
4141,41,5,0,1,F,192,1,F,192,0.446,1.0,0.0922,1.0,0.0676,1.0,9.8414
4142,41,5,1,1,F,192,1,F,192,0.5974,1.0,0.1252,1.0,0.0876,1.0,10.1124
4143,41,5,2,1,F,192,1,F,192,0.6508,1.0,0.1446,1.0,0.1006,1.0,10.2048
4144,41,5,3,1,F,192,1,F,192,0.5726,1.0,0.1192,1.0,0.087,1.0,10.0752
4145,41,5,4,1,F,192,1,F,192,0.4534,1.0,0.0882,1.0,0.0642,1.0,9.8498
4146,41,5,5,1,F,192,1,F,192,0.2906,1.0,0.056,1.0,0.039,1.0,9.5532
4147,41,5,6,1,F,192,1,F,192,0.1906,1.0,0.0418,1.0,0.0256,1.0,9.3626
4148,41,5,7,1,b,164,1,b,179,0.0928,0.99569,0.0168,1.0,0.0106,1.0,8.1802
4149,41,6,0,1,F,192,1,F,192,0.2014,1.0,0.04,1.0,0.0274,1.0,9.384
4150,41,6,1,1,F,192,1,F,192,0.2618,1.0,0.0538,1.0,0.0326,1.0,9.498
4151,41,6,2,1,F,192,1,F,192,0.3018,1.0,0.065,1.0,0.0426,1.0,9.5688
4152,41,6,3,1,F,192,1,F,192,0.2834,1.0,0.0542,1.0,0.0414,1.0,9.5386
4153,41,6,4,1,F,192,1,F,192,0.2568,1.0,0.0546,1.0,0.036,1.0,9.4926
4154,41,6,5,1,F,192,1,F,192,0.2006,1.0,0.0402,1.0,0.026,1.0,9.3854
4155,41,6,6,1,F,192,1,F,192,0.1434,1.0,0.0288,1.0,0.0196,1.0,9.2708
4156,41,6,7,1,a,100,1,a,123,0.063,0.961905,0.0132,0.954545,0.0076,0.947368,6.1144
4157,41,7,0,1,a,100,1,a,138,0.0632,0.901899,0.0132,0.924242,0.0054,0.962963,6.1106
4158,41,7,1,1,L,226,1,F,192,0.1308,1.038226,0.0266,1.030075,0.0152,1.0,10.2594
4159,41,7,2,1,F,192,1,F,192,0.1556,1.0,0.0332,1.0,0.02,1.0,9.3004
4160,41,7,3,1,L,226,1,F,192,0.164,1.039024,0.0314,1.031847,0.0236,1.016949,10.3238
4161,41,7,4,1,L,226,1,F,192,0.1566,1.025543,0.0332,1.018072,0.0168,1.0,10.3096
4162,41,7,5,1,L,226,1,F,192,0.1298,1.029276,0.0262,1.007634,0.018,1.0,10.257
4163,41,7,6,1,a,100,1,a,139,0.0594,0.888889,0.0124,0.919355,0.0062,0.903226,6.1044
4164,41,15,0,9,a,276,2,F,270,1.4896,1.0,0.4732,1.0,0.0,0.0,15.7568
4165,41,15,1,9,f,280,2,F,272,1.4846,1.0,0.47,1.0,0.0,0.0,15.747
4166,41,15,2,9,B,284,2,F,278,1.5632,1.0,0.4786,1.0,0.0,0.0,15.8732
4167,41,15,3,9,A,284,2,F,278,1.5854,1.0,0.4944,1.0,0.0,0.0,15.9286
4168,41,15,4,9,f,280,2,F,272,1.484,1.0,0.4488,1.0,0.0,0.0,15.7432
4169,41,15,5,9,b,276,2,F,270,1.4684,1.0,0.4534,1.0,0.0,0.0,15.7194
4170,41,15,6,9,a,276,2,F,270,1.5092,1.0,0.4652,1.0,0.0,0.0,15.7818
4171,41,15,7,9,f,280,2,F,272,1.4718,1.0,0.4372,1.0,0.0,0.0,15.7294
4172,41,15,8,9,B,284,2,F,278,1.5622,1.0,0.4928,1.0,0.0,0.0,15.8886
4173,41,15,9,9,A,284,2,F,278,1.5338,1.0,0.4882,1.0,0.0,0.0,15.831
4174,41,15,10,9,f,280,2,F,272,1.5202,1.0,0.481,1.0,0.0,0.0,15.8074
4175,41,15,11,9,b,276,2,F,270,1.5056,1.0,0.4726,1.0,0.0,0.0,15.7812
4176,42,1,4,1,a,100,1,a,139,3.2424,0.706945,0.5398,0.786588,0.6788,0.762817,9.764
4177,42,1,5,1,F,192,1,F,192,1.2602,1.0,0.2532,1.0,0.2916,1.0,11.2452
