,DAQlpGBT,EvSize,Elinks,Layer,U,V,LUV,nModules,doubleDAQlpGBT,EvSize [kb],BitsPerElink
145,249,94.4633,4,8,5.5,8.5,2144.5,4,False,3.0228256,755.7064
146,250,111.6238,6,8,9.33333333333333,4.66666666666667,2202,6,False,3.5719616,595.326933333333
147,251,111.6033,6,8,4.66666666666667,9.33333333333333,2132,6,False,3.5713056,595.2176
148,268,139.5708,6,9,7,0,2416,5,False,4.4662656,744.3776
149,269,139.6029,6,9,7,7,2423,5,False,4.4672928,744.5488
150,270,166.0313,6,9,7,6,2422,5,False,5.3130016,885.500266666667
151,271,165.8879,6,9,1,7,2327,5,False,5.3084128,884.735466666667
152,272,112.7718,4,9,7.5,1,2425,4,False,3.6086976,902.1744
153,273,112.7151,4,9,6.5,7.5,2415.5,4,False,3.6068832,901.7208
154,274,132.1727,5,9,8,6,2438,5,False,4.2295264,845.90528
155,275,132.1794,5,9,2,8,2344,5,False,4.2297408,845.94816
156,276,132.1921,5,9,8,2,2434,5,False,4.2301472,846.02944
157,277,131.9012,5,9,6,8,2408,5,False,4.2208384,844.16768
158,278,141.961,6,9,8,5,2437,5,False,4.542752,757.125333333333
159,279,141.9841,6,9,3,8,2360,5,False,4.5434912,757.248533333333
160,280,99.1103,4,9,8.5,3,2443,4,False,3.1715296,792.8824
161,281,98.8008,4,9,5.5,8.5,2400.5,4,False,3.1616256,790.4064
162,282,123.9339,6,9,9.33333333333333,4.66666666666667,2458,6,False,3.9658848,660.9808
163,283,123.9283,6,9,4.66666666666667,9.33333333333333,2388,6,False,3.9657056,660.950933333333
164,296,228.557,7,10,4.66666666666667,2.33333333333333,2637,3,False,7.313824,1044.832
165,297,228.3437,7,10,2.33333333333333,4.66666666666667,2602,3,False,7.3069984,1043.85691428571
166,298,149.4393,6,10,7,6,2678,5,False,4.7820576,797.0096
167,299,149.4702,6,10,1,7,2583,5,False,4.7830464,797.1744
168,300,127.4675,6,10,7,0,2672,5,False,4.07896,679.826666666667
169,301,127.5442,6,10,7,7,2679,5,False,4.0814144,680.235733333333
170,302,110.0242,4,10,7.5,5.5,2685.5,4,False,3.5207744,880.1936
171,303,109.9406,4,10,2,7.5,2599.5,4,False,3.5180992,879.5248
172,304,101.3077,4,10,7.5,1,2681,4,False,3.2418464,810.4616
173,305,101.0532,4,10,6.5,7.5,2671.5,4,False,3.2337024,808.4256
174,306,125.9548,5,10,8,5,2693,5,False,4.0305536,806.11072
175,307,125.8162,5,10,3,8,2616,5,False,4.0261184,805.22368
176,308,109.9919,4,10,7.5,2,2682,4,False,3.5197408,879.9352
177,309,109.8214,4,10,5.5,7.5,2655.5,4,False,3.5142848,878.5712
178,310,88.5648,4,10,8.5,4.5,2700.5,4,False,2.8340736,708.5184
179,311,88.4334,4,10,4,8.5,2632.5,4,False,2.8298688,707.4672
180,312,101.4498,6,10,9.33333333333333,3.66666666666667,2713,6,False,3.2463936,541.0656
181,313,101.2986,6,10,5.66666666666667,9.33333333333333,2660,6,False,3.2415552,540.2592
182,326,228.8748,7,11,4.66666666666667,2.33333333333333,2893,3,False,7.3239936,1046.2848
183,327,228.602,7,11,2.33333333333333,4.66666666666667,2858,3,False,7.315264,1045.03771428571
184,328,127.4609,6,11,7,0,2928,5,False,4.0787488,679.791466666667
185,329,127.5454,6,11,7,7,2935,5,False,4.0814528,680.242133333333
186,330,102.912,4,11,7.5,6.5,2942.5,4,False,3.293184,823.296
187,331,102.9726,4,11,1,7.5,2839.5,4,False,3.2951232,823.7808
188,332,103.0669,4,11,7.5,1,2937,4,False,3.2981408,824.5352
189,333,102.8258,4,11,6.5,7.5,2927.5,4,False,3.2904256,822.6064
190,334,120.6056,5,11,8,2,2946,5,False,3.8593792,771.87584
191,335,120.4824,5,11,6,8,2920,5,False,3.8554368,771.08736
192,336,120.7163,5,11,8,6,2950,5,False,3.8629216,772.58432
193,337,120.6025,5,11,2,8,2856,5,False,3.85928,771.856
194,338,129.7623,5,11,8,5,2949,5,False,4.1523936,830.47872
195,339,129.5855,5,11,3,8,2872,5,False,4.146736,829.3472
196,340,91.0238,4,11,8.5,3,2955,4,False,2.9127616,728.1904
197,341,90.724,4,11,5.5,8.5,2912.5,4,False,2.903168,725.792
198,342,114.6727,6,11,9.33333333333333,4.66666666666667,2970,6,False,3.6695264,611.587733333333
199,343,114.73,6,11,4.66666666666667,9.33333333333333,2900,6,False,3.67136,611.893333333333
200,356,210.2333,7,12,4.66666666666667,2.33333333333333,3149,3,False,6.7274656,961.066514285714
201,357,210.1666,7,12,2.33333333333333,4.66666666666667,3114,3,False,6.7253312,960.7616
202,358,118.447,5,12,7,0,3184,5,False,3.790304,758.0608
203,359,118.3493,5,12,7,7,3191,5,False,3.7871776,757.43552
204,360,93.8313,4,12,7.5,6.5,3198.5,4,False,3.0026016,750.6504
205,361,93.7763,4,12,1,7.5,3095.5,4,False,3.0008416,750.2104
206,362,93.8175,4,12,7.5,1,3193,4,False,3.00216,750.54
207,363,93.653,4,12,6.5,7.5,3183.5,4,False,2.996896,749.224
208,364,101.6522,4,12,7.5,5.5,3197.5,4,False,3.2528704,813.2176
209,365,101.6421,4,12,2,7.5,3111.5,4,False,3.2525472,813.1368
210,366,101.8058,4,12,7.5,2,3194,4,False,3.2577856,814.4464
211,367,101.5686,4,12,5.5,7.5,3167.5,4,False,3.2501952,812.5488
212,368,116.4988,5,12,8,5,3205,5,False,3.7279616,745.59232
213,369,116.6223,5,12,3,8,3128,5,False,3.7319136,746.38272
214,370,80.9265,4,12,8.5,3,3211,4,False,2.589648,647.412
215,371,80.6542,4,12,5.5,8.5,3168.5,4,False,2.5809344,645.2336
216,372,104.2306,6,12,9.33333333333333,4.66666666666667,3226,6,False,3.3353792,555.896533333333
217,373,104.1889,6,12,4.66666666666667,9.33333333333333,3156,6,False,3.3340448,555.674133333333
218,386,209.9738,7,13,4.66666666666667,2.33333333333333,3405,3,False,6.7191616,959.880228571429
219,387,209.7867,7,13,2.33333333333333,4.66666666666667,3370,3,False,6.7131744,959.024914285714
220,388,118.2737,5,13,7,0,3440,5,False,3.7847584,756.95168
221,389,118.3256,5,13,7,7,3447,5,False,3.7864192,757.28384
222,390,95.5751,4,13,7.5,6.5,3454.5,4,False,3.0584032,764.6008
223,391,95.4425,4,13,1,7.5,3351.5,4,False,3.05416,763.54
224,392,95.5428,4,13,7.5,1,3449,4,False,3.0573696,764.3424
