,Slinks,Total lpGBT of Slinks,LpGBT Id,LpGBT Rate,link variable,total rate,FPGA,Total lpGBT of FPGA,Total Rate of FPGA,Event-Buffer
3,42,6,973,55.4748,Single,603.1375999999999,11,77,7230.762200000001,41.0
4,42,6,197,373.1586,Double,603.1375999999999,11,77,7230.762200000001,41.0
0,43,5,862,70.34060000000001,Single,602.8666000000001,8,70,7233.6862,41.0
1,43,5,1044,76.802,Single,602.8666000000001,8,70,7233.6862,41.0
2,43,5,409,81.56720000000001,Single,602.8666000000001,8,70,7233.6862,41.0
3,43,5,92,374.1568,Double,602.8666000000001,8,70,7233.6862,41.0
0,44,6,696,76.13300000000001,Single,602.8696,9,77,7234.254199999999,41.0
1,44,6,270,84.63000000000001,Single,602.8696,9,77,7234.254199999999,41.0
2,44,6,1047,34.0206,Single,602.8696,9,77,7234.254199999999,41.0
3,44,6,740,34.7448,Single,602.8696,9,77,7234.254199999999,41.0
4,44,6,106,373.3412,Double,602.8696,9,77,7234.254199999999,41.0
0,45,6,252,112.6132,Single,603.0408,1,78,7233.7032,40.0
1,45,6,987,64.7124,Single,603.0408,1,78,7233.7032,40.0
2,45,6,774,78.314,Single,603.0408,1,78,7233.7032,40.0
3,45,6,512,85.2466,Single,603.0408,1,78,7233.7032,40.0
4,45,6,346,262.1546,Double,603.0408,1,78,7233.7032,40.0
0,46,6,637,79.932,Single,603.1184000000001,15,75,7231.0592,42.0
1,46,6,300,72.6604,Single,603.1184000000001,15,75,7231.0592,42.0
2,46,6,924,60.3406,Single,603.1184000000001,15,75,7231.0592,42.0
3,46,6,2097,15.053,Single,603.1184000000001,15,75,7231.0592,42.0
4,46,6,182,375.1324,Double,603.1184000000001,15,75,7231.0592,42.0
0,47,8,221,112.1306,Single,601.4646,16,79,7230.668000000001,42.0
1,47,8,959,87.30199999999999,Single,601.4646,16,79,7230.668000000001,42.0
2,47,8,624,68.3248,Single,601.4646,16,79,7230.668000000001,42.0
3,47,8,2049,15.093,Single,601.4646,16,79,7230.668000000001,42.0
4,47,8,2133,16.1322,Single,601.4646,16,79,7230.668000000001,42.0
5,47,8,1037,38.7656,Single,601.4646,16,79,7230.668000000001,42.0
6,47,8,332,263.7164,Double,601.4646,16,79,7230.668000000001,42.0
0,48,7,250,112.5288,Single,603.1498,11,77,7230.762200000001,41.0
1,48,7,648,67.03399999999999,Single,603.1498,11,77,7230.762200000001,41.0
2,48,7,760,67.12100000000001,Single,603.1498,11,77,7230.762200000001,41.0
3,48,7,711,76.2144,Single,603.1498,11,77,7230.762200000001,41.0
4,48,7,2124,16.5452,Single,603.1498,11,77,7230.762200000001,41.0
5,48,7,374,263.70640000000003,Double,603.1498,11,77,7230.762200000001,41.0
0,49,7,236,112.0738,Single,602.9842,14,77,7227.605800000001,41.0
1,49,7,91,58.8956,Single,602.9842,14,77,7227.605800000001,41.0
2,49,7,802,59.9746,Single,602.9842,14,77,7227.605800000001,41.0
3,49,7,893,47.8616,Single,602.9842,14,77,7227.605800000001,41.0
4,49,7,989,58.5812,Single,602.9842,14,77,7227.605800000001,41.0
5,49,7,360,265.5974,Double,602.9842,14,77,7227.605800000001,41.0
0,50,7,22,111.9114,Single,602.9286000000001,11,77,7230.762200000001,41.0
1,50,7,598,79.4204,Single,602.9286000000001,11,77,7230.762200000001,41.0
2,50,7,660,66.7574,Single,602.9286000000001,11,77,7230.762200000001,41.0
3,50,7,2139,16.1108,Single,602.9286000000001,11,77,7230.762200000001,41.0
4,50,7,1062,58.7344,Single,602.9286000000001,11,77,7230.762200000001,41.0
5,50,7,390,269.99420000000003,Double,602.9286000000001,11,77,7230.762200000001,41.0
0,51,6,175,117.865,Single,602.5645999999999,7,77,7230.8994,41.0
1,51,6,1048,76.072,Single,602.5645999999999,7,77,7230.8994,41.0
2,51,6,632,63.0368,Single,602.5645999999999,7,77,7230.8994,41.0
3,51,6,551,75.06400000000001,Single,602.5645999999999,7,77,7230.8994,41.0
4,51,6,403,270.5268,Double,602.5645999999999,7,77,7230.8994,41.0
0,52,6,224,111.1466,Single,602.9042000000001,15,75,7231.0592,42.0
1,52,6,673,76.2902,Single,602.9042000000001,15,75,7231.0592,42.0
2,52,6,529,60.3596,Single,602.9042000000001,15,75,7231.0592,42.0
3,52,6,574,82.7458,Single,602.9042000000001,15,75,7231.0592,42.0
4,52,6,416,272.362,Double,602.9042000000001,15,75,7231.0592,42.0
0,53,8,239,110.8612,Single,602.875,2,79,7233.971799999999,40.0
1,53,8,724,69.8608,Single,602.875,2,79,7233.971799999999,40.0
2,53,8,734,70.75280000000001,Single,602.875,2,79,7233.971799999999,40.0
3,53,8,2029,9.4092,Single,602.875,2,79,7233.971799999999,40.0
4,53,8,2070,14.2332,Single,602.875,2,79,7233.971799999999,40.0
5,53,8,1002,54.4756,Single,602.875,2,79,7233.971799999999,40.0
6,53,8,429,273.28220000000005,Double,602.875,2,79,7233.971799999999,40.0
0,54,5,833,62.1762,Single,603.135,8,70,7233.6862,41.0
1,54,5,658,79.4866,Single,603.135,8,70,7233.6862,41.0
2,54,5,471,69.6944,Single,603.135,8,70,7233.6862,41.0
3,54,5,33,391.7778,Double,603.135,8,70,7233.6862,41.0
0,55,6,813,66.3616,Single,602.9834000000002,12,83,7231.988199999999,42.0
1,55,6,735,70.6408,Single,602.9834000000002,12,83,7231.988199999999,42.0
2,55,6,982,57.2566,Single,602.9834000000002,12,83,7231.988199999999,42.0
3,55,6,2137,16.2092,Single,602.9834000000002,12,83,7231.988199999999,42.0
4,55,6,47,392.5152000000001,Double,602.9834000000002,12,83,7231.988199999999,42.0
0,56,7,891,60.229400000000005,Single,602.6020000000001,6,77,7231.9596,41.0
1,56,7,955,63.4344,Single,602.6020000000001,6,77,7231.9596,41.0
2,56,7,2162,16.0822,Single,602.6020000000001,6,77,7231.9596,41.0
3,56,7,1001,46.583,Single,602.6020000000001,6,77,7231.9596,41.0
4,56,7,2164,16.1394,Single,602.6020000000001,6,77,7231.9596,41.0
5,56,7,75,400.1336,Double,602.6020000000001,6,77,7231.9596,41.0
0,57,6,858,63.3686,Single,602.9140000000001,10,79,7232.0732,42.0
1,57,6,781,64.5664,Single,602.9140000000001,10,79,7232.0732,42.0
2,57,6,2098,15.2886,Single,602.9140000000001,10,79,7232.0732,42.0
3,57,6,856,58.4894,Single,602.9140000000001,10,79,7232.0732,42.0
4,57,6,58,401.201,Double,602.9140000000001,10,79,7232.0732,42.0
0,58,5,956,59.012,Single,602.8918,4,83,7234.2896,42.0
1,58,5,786,64.672,Single,602.8918,4,83,7234.2896,42.0
2,58,5,356,77.7582,Single,602.8918,4,83,7234.2896,42.0
3,58,5,155,401.4496,Double,602.8918,4,83,7234.2896,42.0
0,59,6,193,109.999,Single,601.2048000000001,3,82,7231.1314,42.0
1,59,6,345,80.8872,Single,601.2048000000001,3,82,7231.1314,42.0
2,59,6,851,66.59100000000001,Single,601.2048000000001,3,82,7231.1314,42.0
3,59,6,782,51.8848,Single,601.2048000000001,3,82,7231.1314,42.0
4,59,6,287,291.8428,Double,601.2048000000001,3,82,7231.1314,42.0
0,60,5,878,62.5836,Single,603.1240000000001,1,78,7233.7032,40.0
1,60,5,474,81.39380000000001,Single,603.1240000000001,1,78,7233.7032,40.0
2,60,5,638,57.2976,Single,603.1240000000001,1,78,7233.7032,40.0
3,60,5,170,401.8490000000001,Double,603.1240000000001,1,78,7233.7032,40.0
0,61,7,55,109.3004,Single,603.1362,2,79,7233.971799999999,40.0
1,61,7,1031,35.2516,Single,603.1362,2,79,7233.971799999999,40.0
2,61,7,1032,55.6332,Single,603.1362,2,79,7233.971799999999,40.0
3,61,7,994,53.4708,Single,603.1362,2,79,7233.971799999999,40.0
4,61,7,736,57.8522,Single,603.1362,2,79,7233.971799999999,40.0
5,61,7,232,291.628,Double,603.1362,2,79,7233.971799999999,40.0
0,62,8,769,110.4718,Single,603.1098,6,77,7231.9596,41.0
1,62,8,899,58.881,Single,603.1098,6,77,7231.9596,41.0
2,62,8,838,62.180200000000006,Single,603.1098,6,77,7231.9596,41.0
3,62,8,2025,9.5316,Single,603.1098,6,77,7231.9596,41.0
4,62,8,1065,36.3314,Single,603.1098,6,77,7231.9596,41.0
5,62,8,902,34.0744,Single,603.1098,6,77,7231.9596,41.0
6,62,8,217,291.6394,Double,603.1098,6,77,7231.9596,41.0
0,63,7,311,108.3922,Single,602.9064,5,71,7233.2302,40.0
1,63,7,725,69.6796,Single,602.9064,5,71,7233.2302,40.0
2,63,7,811,70.2114,Single,602.9064,5,71,7233.2302,40.0
3,63,7,2034,9.5364,Single,602.9064,5,71,7233.2302,40.0
4,63,7,834,51.773,Single,602.9064,5,71,7233.2302,40.0
5,63,7,317,293.3138,Double,602.9064,5,71,7233.2302,40.0
0,64,7,37,109.5842,Single,603.0998,4,83,7234.2896,42.0
1,64,7,464,62.1274,Single,603.0998,4,83,7234.2896,42.0
2,64,7,845,65.3582,Single,603.0998,4,83,7234.2896,42.0
3,64,7,2148,15.9514,Single,603.0998,4,83,7234.2896,42.0
4,64,7,860,56.704,Single,603.0998,4,83,7234.2896,42.0
5,64,7,272,293.3746,Double,603.0998,4,83,7234.2896,42.0
0,65,8,773,110.253,Single,602.4774,16,79,7230.668000000001,42.0
1,65,8,947,65.644,Single,602.4774,16,79,7230.668000000001,42.0
2,65,8,516,59.6482,Single,602.4774,16,79,7230.668000000001,42.0
3,65,8,2117,14.198,Single,602.4774,16,79,7230.668000000001,42.0
4,65,8,2056,15.0162,Single,602.4774,16,79,7230.668000000001,42.0
5,65,8,1029,43.5902,Single,602.4774,16,79,7230.668000000001,42.0
6,65,8,349,294.12780000000004,Double,602.4774,16,79,7230.668000000001,42.0
0,66,6,51,109.55339999999998,Single,602.0124,11,77,7230.762200000001,41.0
